# Which clauses are in scope for a changed file — discovery, not a gate.
#
# clause<TAB>globs<TAB>scope
#
# globs is a semicolon-separated list of case-pattern globs in the exact
# syntax tools/lib/ratchet.sh's ratchet_glob_matches() already uses for
# .standardsignore: `*` matches across `/` (this is `case` pattern matching,
# not filename expansion, so a bare `*` is not restricted to one path
# segment). A pattern with no `/` therefore matches at any depth — `*.ts`
# matches both `app.ts` and `packages/foo/app.ts` — so most rows need no
# leading `**/`. A literal root filename (`package.json`) matches only the
# repo-root copy; pair it with `*/package.json` to also catch a nested one.
# `*` alone as the entire glob list means "matches every path" and is used
# only where the clause's own doc states, or an existing gate script's
# ratchet_scope_files() pattern proves, that the clause is not file-scoped —
# never as a stand-in for "not sure".
#
# scope carries a confidence tag:
#   [gate]     the exact ratchet_scope_files() pattern a real tools/*.sh gate
#              already uses — copied from source, not guessed
#   [doc]      the clause's own doc names this location or file directly
#   [fleet]    inferred from a naming convention evidenced elsewhere in this
#              repo or the workspace CLAUDE.md (e.g. `infra/`, `app/`,
#              `src/`), but not asserted by the clause's own doc
#   [none]     the doc states, or implies by giving no path/language/
#              directory signal at all, that the clause is not file-scoped
#
# A [fleet] row is the weakest kind here and the one most likely to need
# correction once this ships against a real diff from outside this repo —
# see the PR description for the full list of what could not be grounded
# in a doc or a script.

## Principles — principles.md (all six `pending`, all repo-level decisions)
PRIN-1	*	[none] a public-vs-private choice made once, at repo creation — not tied to any file in a diff
PRIN-2	*	[none] a repo-level deploy/merge-protection posture — not tied to any file in a diff
PRIN-3	*	[none] a spend decision — not tied to any file in a diff
PRIN-4	*	[none] a supplier-choice decision — not tied to any file in a diff
PRIN-5	*	[none] a repo-scope decision — not tied to any file in a diff
PRIN-6	*	[none] an agent-authorisation decision — not tied to any file in a diff

## Meta — index.md "Meta"
STD-000	*	[doc] a `standards-allow-next-line` suppression can be the preceding line of any tracked file
STD-001	.standardsignore	[doc] exemptions are rows in this file only
STD-002	.standardsignore	[doc] staleness is computed over this file's rows

## TypeScript — tsconfig.md, tools/check-tsconfig.sh
TS-1	tsconfig.json;*/tsconfig.json;tsconfig.*.json;*/tsconfig.*.json	[gate] check-tsconfig.sh: ratchet_scope_files '(^|/)tsconfig(\.[a-z]+)?\.json$'
TS-2	tsconfig.json;*/tsconfig.json;tsconfig.*.json;*/tsconfig.*.json	[gate] same pattern as TS-1, same script
TS-3	tsconfig.json;*/tsconfig.json;tsconfig.*.json;*/tsconfig.*.json	[gate] same pattern as TS-1, same script
TS-4	tsconfig.json;*/tsconfig.json;tsconfig.*.json;*/tsconfig.*.json	[gate] same pattern as TS-1, same script; compares against tools/floors.tsv
TS-5	tsconfig.json;*/tsconfig.json;tsconfig.*.json;*/tsconfig.*.json;*.ts	[gate] same tsconfig pattern, plus check_ts5() reads every tracked *.ts to compare against tsc --listFiles
TS-6	package.json;*/package.json	[fleet] canonical script names live in package.json; clause is `pending`, no gate script to copy a pattern from
